model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9577922077922079
Xgboost,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9491341991341992
Random Forest,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.946969696969697
